cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
520013,2017,1,N,10,2,4,16,625,125,0.25
520015,2017,1,N,3,0,1,4,0.75,0,0.25
520017,2017,1,N,13,1,1,15,0.8666666667,0.0666666667,0.0666666667
520020,2017,1,S,7,0,1,8,875,0,125
520025,2017,1,N,24,12,2,38,0.6315789474,0.3157894737,0.0526315789
520030,2017,1,S,25,14,2,41,0.6097560976,0.3414634146,0.0487804878
520050,2017,1,S,6,0,0,6,1,0,0
520055,2017,1,S,8,2,2,12,0.6666666667,0.1666666667,0.1666666667
520060,2017,1,N,8,3,2,13,0.6153846154,0.2307692308,0.1538461538
520080,2017,1,S,6,1,0,7,0.8571428571,0.1428571429,0
520082,2017,1,S,7,6,0,13,0.5384615385,0.4615384615,0
520085,2017,1,N,5,4,0,9,0.5555555556,0.4444444444,0
520090,2017,1,N,7,0,0,7,1,0,0
520110,2017,1,N,30,2,0,32,0.9375,0.0625,0
520120,2017,1,S,0,1,0,1,0,1,0
520130,2017,1,N,24,1,0,25,0.96,0.04,0
520140,2017,1,N,7,0,1,8,875,0,125
520145,2017,1,N,11,0,0,11,1,0,0
520150,2017,1,S,6,2,0,8,0.75,0.25,0
520160,2017,1,S,9,0,0,9,1,0,0
